,qname,seqLength,sampleQnamesChr,subTeloAlignLength,teloBPLengths
343,fd844b11-f982-496d-8db5-747f349b95af,9051,chr7:p-arm,48,90
344,251f5fcd-3eae-4165-9394-9282b573eba7,10939,chrX:q-arm,6188,2666
345,cadf57c4-a1bb-434e-98f0-12546118deaf,6265,chr11:q-arm,94,6067
346,a68f7568-1cc4-4d5f-b0df-8314fc33bd34,7764,chr12:p-arm,1436,4712
347,b662ff5d-b5a6-486d-afb6-d0862f6b281a,7909,chrX:q-arm,1690,6033
348,2d29e474-7239-4462-b1c9-192dbad0d193,30621,chr6:q-arm,22405,4168
349,b8634209-3f0b-4a29-b669-08b17cd87528,9715,chr2:p-arm,2312,6898
350,11e397b2-3ec7-4b70-8d3d-1137dff38cce,10197,chr7:q-arm,7022,893
351,3592acd8-83d6-45b0-b49e-2f66b64991dc,8012,chr12:p-arm,1613,5796
352,42f6948f-270e-4e5e-9297-bed9ee4317e2,1577,chr19:q-arm,87,319
354,0465b1ca-4896-4067-a7e4-dc839e4375b7,10269,chr17:p-arm,5279,688
355,144848e9-9125-4c07-b687-564b734b4765,6980,chr6:p-arm,940,5668
356,5000518d-69e5-4884-ab91-ba67bc8e4ee0,3044,chr19:q-arm,101,1612
357,cf231aae-f1e5-45ae-b298-dfc7e72b7bdd,14681,chr20:q-arm,8837,1622
359,79316fcd-4c7d-45ca-b009-e87aa17eef3a,6758,chr3:p-arm,726,4790
360,d6b1432c-5b26-46e6-b11d-d6d5fabc75f9,6513,chr13:q-arm,2767,3246
361,3a02864d-efd3-41c1-a258-d46881fcacf8,7236,chr1:p-arm,1869,4606
363,35fd5909-828d-4970-b296-fd246894cf79,5111,chr19:q-arm,76,126
364,9f75c97b-d073-45b6-824e-bca463d44b0f,3001,chr19:q-arm,46,1675
365,eabf3e06-73c0-4cd6-9d1d-31640953c76c,24710,chr10:q-arm,15032,6838
366,c8b96b7b-2c19-4521-8473-2af75f8af35d,7260,chr3:p-arm,450,240
367,0946c68f-f0c0-4463-a3af-2f49165a4d72,5694,chrX:p-arm,84,5535
368,869f40c3-0191-4501-9d84-671a2f20926f,8617,chr3:q-arm,1168,7324
369,45240201-03ec-42fe-83f7-9ffbfd344209,15615,chr8:p-arm,4114,10870
370,cf8e87a9-3c75-4b0b-805e-c50ccd13cccf,2252,chr4:q-arm,222,528
371,93b3a303-d1c9-425f-bf5d-733aed857977,7403,chr4:q-arm,301,7138
372,e33a7d47-091b-4191-9673-7e796a4e813a,6024,chr16:p-arm,3819,1903
373,f158c060-7160-4220-a453-5d393819ca4d,11990,chr14:p-arm,5804,3928
374,745144ab-af1c-4ece-bc50-60e667b4e143,14499,chr10:q-arm,6012,7236
376,895315df-0305-488a-9f7f-c8fdf8b00b6f,3874,chr16:p-arm,1461,2377
377,5dcb8e68-0952-49af-836b-40ee131e44c6,10105,chr14:p-arm,5974,3208
378,9bdfe12a-be4b-4f10-9399-5efcdb2276b4,12723,chr16:q-arm,1447,10387
379,a133c2d1-0bec-49e6-b55a-b798d88eb6bb,17421,chr6:q-arm,108,68
381,e98e1a80-1c46-488a-a283-b6c9001091ca,4176,chr19:p-arm,1143,2818
382,ef14c258-17e6-417c-af44-bad710296c31,8712,chr9:p-arm,568,6413
383,1c2fecb0-3d8a-4933-982c-bfba64e57f64,44588,chr13:p-arm,32343,7944
384,7567962e-974d-4c38-98b9-48b7e1f9f996,20199,chr16:q-arm,10168,7612
385,eac9b0c9-b4be-41cd-9462-9d75a09dee90,8016,chr18:q-arm,974,6938
386,12c2d502-e4d7-486e-80e6-5cd9fada6600,1742,chr7:p-arm,529,1139
387,c9433ceb-3f39-43ae-940c-ec7d396516ae,31479,chr18:q-arm,17309,4168
388,398c06c8-fc43-49fb-bee1-885045fdc8c0,32006,chr17:q-arm,21271,7709
389,37d422c9-dc08-4f12-ae2e-b222f7b7c6f9,7440,chr3:q-arm,1202,6088
390,dd6ee901-b98a-41be-b47e-3799e71f6da0,14899,chr1:q-arm,9085,3594
391,6a7b2fad-0976-48dc-97bf-8703d94ea310,43242,chr16:q-arm,31356,6384
394,2aea20fa-8100-4d19-89d9-9f48c90191e7,44073,chr20:p-arm,33132,4357
395,c7596b03-eb6c-4d0e-9845-9478bf10d459,2854,chr4:q-arm,157,36
396,33bac42a-4f7b-4d25-ba2b-714e1a5cd553,4938,chr19:p-arm,747,4031
397,2d60c62e-a87f-4aa9-9ef8-32fe641d7199,13735,chr18:p-arm,4790,7000
399,30e84886-4965-4319-852b-8c57faa93bd7,15397,chr21:p-arm,8188,4885
400,d36b4054-9e2d-4053-ae93-f9519eb91465,33948,chr15:p-arm,13337,14278
401,eb102242-ed94-485f-825f-80782183bbee,18672,chr21:q-arm,10569,6172
403,82a2a282-98ef-44cf-a884-bf318d8b2b20,4970,chr6:p-arm,1011,3481
404,6d971d4f-4803-4af6-9465-7881b5d65f01,1865,chr22:q-arm,122,1325
405,46f5407c-ee2a-44a3-baaa-39451d1f681f,15626,chr11:p-arm,2761,12246
406,b07ef49f-3c2d-4d37-9fb8-2b7e52ea8e81,18855,chr20:p-arm,10192,4778
407,fe720fbc-295c-4a96-ab46-7de66df26620,2314,chrX:p-arm,59,2131
409,9850fd0e-b582-46df-98ad-567818e52ff9,9467,chrX:q-arm,1402,7655
410,39180c31-cfcb-4737-97ec-35bccde37227,7386,chr12:p-arm,1182,5934
411,c440eb4c-4888-405f-9831-87699966bd2c,16469,chr6:p-arm,7052,4748
414,c3b2b2c0-0811-48a5-8d4a-f6922576ff0e,16477,chr5:p-arm,11445,3048
415,e65187ed-8c84-4b8e-bb1c-01dcffdce073,22465,chr8:p-arm,10797,5514
416,c73f5d35-f8ec-4d4f-850b-75f3803c1568,30657,chr21:q-arm,205,180
417,f3c161a0-71ad-4654-8fd6-69098dc3b251,7978,chr12:p-arm,536,5814
418,5338a09f-1896-4e30-85e0-c3007871ee23,38872,chr5:p-arm,22503,11859
419,f5259b5c-9a26-4ddd-a221-de10647b6576,22211,chr18:q-arm,14955,3049
420,6749258e-c39d-43a8-ba54-e846bdd761d0,8161,chr3:q-arm,1126,6670
421,7f8fd5a5-1777-429d-97ce-ed243e8a7c62,5980,chr11:p-arm,1314,4492
422,4a33b771-e9de-4cae-85e9-8a783521db2a,25882,chr2:p-arm,19617,3628
423,ef425f17-fcc4-4c4d-9661-fec05a6a7f58,5194,chr20:q-arm,1165,3544
424,1aafdfd2-535f-4c3a-ad52-527b175e8cf4,17630,chr3:p-arm,7987,6675
425,62648d49-cd4e-4fcd-8006-841e880462e0,24921,chr1:p-arm,12628,10249
427,bd9fd4f7-bb2f-40a3-b584-5b82eee04996,5460,chr19:p-arm,4237,18
428,5dac0217-343a-4a51-b962-0cba9ed05f6e,15285,chr22:q-arm,9741,3056
429,e7ed4279-7c9e-4fb0-a68b-8efc9c025864,2125,chrX:p-arm,69,1962
430,48c7ccaf-512a-42a7-97d6-d66d14462cf3,2916,chr18:q-arm,2143,414
431,f84895e8-e85f-4da3-8fff-b29fcfd17dfa,20136,chr5:p-arm,15171,3117
432,edb1b3bb-309b-4943-bacd-7374cfeeeb9a,20941,chrX:q-arm,58,42
433,4fae41b2-91c7-4f1e-9794-8004f08d0dc8,3912,chr5:p-arm,53,96
434,ef309793-317e-4e05-9884-3ef5d079d886,41087,chr2:q-arm,14857,5892
435,c53eceb5-574b-42e8-92ec-f8d2cd1f4d22,2132,chr19:q-arm,76,1068
436,6c4d6581-df2d-4975-8564-44f2d6cd2ea3,8984,chr21:p-arm,1373,7578
437,7c36a23d-f216-4570-9fac-c5ebcfb672aa,56878,chr13:q-arm,36111,10156
438,c33381b1-f700-4f18-bf1d-97d751328095,2838,chr10:p-arm,151,2679
439,3cfdf80a-5744-459f-b3c4-ec465bacd410,33547,chr10:q-arm,25577,4454
440,73fb4cb4-9ef5-4ce2-8fab-1c7902f29470,34565,chr8:q-arm,25488,4672
442,5f4a1cef-19fc-4837-bf82-70b4b11cc404,2251,chr19:q-arm,87,1048
444,6e54bf3e-57f6-4714-8141-2c6bd7f24c8c,10191,chr8:p-arm,3205,5847
446,8c43d057-517b-41a8-831d-34649df29f06,1179,chr19:q-arm,84,160
448,29b7af3a-5f68-47ea-8c0c-efe430c96af1,27929,chr11:q-arm,20049,4391
449,9f714824-99ac-4e48-a93b-df83b3168195,17373,chr10:p-arm,9524,5824
450,a19e56b4-1be2-4503-9b50-b986d10944bd,44022,chr7:p-arm,24935,6309
452,037d44ba-1f6a-4b9e-84e1-feeb6ff41447,19963,chrX:p-arm,6466,10347
453,f54eb530-3124-4b68-811e-61ee5515590c,7783,chr20:q-arm,1033,6178
454,71571573-42ca-455d-87c5-3cb5bc1c458c,19497,chr22:q-arm,12317,4216
455,50328b5c-3922-4906-b0e6-c93aaed0d9d2,8661,chrX:p-arm,3330,3046
456,4ffa2429-55bc-4edc-b4ac-a329c137be29,2473,chr21:p-arm,1463,160
457,e2d9a624-19cf-4d83-8028-55106a189c8b,4352,chr9:p-arm,1412,2866
459,43f5fdd2-8706-4a5d-8ed5-49f1c6d027c5,17380,chr20:q-arm,12030,4215
460,6bee6e62-f2cf-4925-ac33-bee9d0aa7370,2301,chr19:q-arm,58,1424
461,b6a170d2-4e0b-4ebe-8a23-445da5107b6f,11192,chr10:q-arm,6784,2578
462,5cc99c82-9fce-42de-82f9-d9ecfd5a0df8,3455,chr19:q-arm,66,2251
463,df4145df-460d-4728-93d3-03478c1a87e9,22072,chr14:q-arm,15142,4248
464,65ca42fd-c66c-4763-8132-100d682b3717,5138,chr12:p-arm,1530,3181
465,aff8b229-46c5-4a6f-93c2-811d2b781b12,41048,chr18:q-arm,33017,2441
466,55428842-336a-476b-8f02-bd2d3ab63ac2,18818,chr19:p-arm,13018,2928
467,3964a760-7bec-453b-b147-09483b1b47cd,22849,chr14:q-arm,14697,5061
468,3bd53f70-643e-4f2a-ae60-cf21b21caef5,7486,chrX:q-arm,1446,5656
469,5f105659-47a3-47c9-8ea4-f2979d79877e,14310,chr4:q-arm,4204,9067
470,a7b436f1-48bd-4e8f-a082-a47107c06c81,6034,chr16:p-arm,1281,4541
471,05a5e1b5-d724-42bd-ab90-f766cbe3d0bf,4840,chr3:q-arm,1143,3322
472,62a17815-1272-429d-9374-ee91de62acad,15541,chr1:q-arm,8041,5928
473,54527a9f-caae-42eb-b82a-32bdcef64147,6050,chr2:p-arm,170,4831
474,b470deb9-63cd-4c8e-aa0d-66be130ec2b2,11137,chr15:q-arm,6421,3616
475,0317ab61-edec-4cc0-8d80-cd9f681eec9f,10030,chr7:q-arm,2701,6185
476,734a1c25-dbe7-4f5c-a59a-435fc3a79900,10873,chr17:q-arm,2819,5968
477,9f4b7e4b-b7ce-47ae-a02f-d7d3d113cb05,6853,chr14:p-arm,2273,4268
478,72501c87-3992-4401-b349-137f5780729b,5550,chrX:p-arm,3148,1861
479,4120750f-1aaf-4ac3-aa32-62082f491310,10974,chr12:q-arm,8468,914
480,df0d438f-e48a-470e-8f28-cf6cd71e0040,8549,chr9:q-arm,980,6960
481,7a439689-16d7-4381-b5fc-0cd08394021e,26790,chr16:p-arm,16547,4087
482,5c24324b-8e31-4be2-9fd7-aedc193a7a5f,16807,chr15:p-arm,8293,3874
483,60851c5b-4ee1-46f5-9029-88054ccb0d01,9999,chr21:p-arm,1987,8014
484,b2ca4d9d-92c1-43b8-845b-75578792c9d5,2998,chr19:q-arm,47,36
485,b0f5bb70-9260-4cb9-a7ab-4996f22dc384,7795,chr19:p-arm,1215,5956
486,8f7200ae-70d1-47c0-a4e6-a6f4dc5e920e,8679,chr8:p-arm,515,7953
487,2b852009-29d9-4437-b910-c3c5418ce5dd,7184,chrX:p-arm,63,7019
488,8a28539c-5684-45b2-aa9c-8cad406da7b2,11539,chr17:q-arm,54,126
490,edb28a89-3f35-4ec2-87bd-8a1bd778676e,18093,chr3:q-arm,6362,4750
491,485978dd-32d1-46ce-8d2a-9cd379cea7ef,7659,chr1:p-arm,5702,1012
492,19ce088f-dc4a-443c-8523-e4578da9c737,4221,chr8:q-arm,1277,3346
493,05f19f59-10ae-4b74-8bca-b605f9b10933,49024,chr9:q-arm,38480,3624
494,a86c1e35-3285-443a-8463-90a51bc26faf,42333,chr17:q-arm,21532,12036
495,f2eb5cf6-f9a0-469c-bc45-c439cb4f4be5,3358,chr19:q-arm,95,2159
496,53e75696-e085-4c35-93ca-b42903a30917,8030,chr20:q-arm,1130,6928
497,40302c88-1ed1-4ef8-92a6-515d06973ac1,13179,chr3:q-arm,6527,5014
499,1e244291-3b11-49d2-bc3b-1667366c1cd6,25253,chrX:p-arm,13314,5145
500,990e7fb1-4b22-47b6-b195-284620236b0c,1278,chr2:p-arm,211,714
501,9cb3a45e-87b4-42af-8b6d-94dc0a5381a0,18585,chr4:p-arm,10623,5278
502,3b5d2f7b-b2d2-4601-a560-1f493f6400d7,9752,chr9:p-arm,1777,7628
504,b0591767-8677-4826-91c9-7b1bceb922bf,22250,chr14:q-arm,14208,4738
505,06e5d519-3bd5-419e-9804-29ebbaf1ff3e,6008,chr19:p-arm,1561,4156
506,a6070a36-225c-4a65-ae2b-378efdf18474,31846,chr1:q-arm,19942,5579
508,187e9415-ac5e-45c7-ae12-293fcd49e5c7,6273,chr11:q-arm,248,5730
509,e9f6cbe4-cf6d-4ada-ad38-a44919261b05,5349,chr3:p-arm,463,4918
510,04836c44-5837-4e52-a4eb-5c4934f10d86,5374,chr9:q-arm,1247,3005
511,61e84f0d-095c-4364-b499-45fc35cc8c9d,27507,chr10:q-arm,16200,8371
512,c9b417be-ae98-4d60-80ec-66f6624865c5,19807,chr3:p-arm,7835,8824
513,41b57ee3-5d31-4494-aea1-227da557454b,9610,chr5:p-arm,81,9448
514,7dfd932c-91ac-477a-92db-651900e9bfef,17646,chr5:p-arm,8967,5912
515,51899a7e-ab4a-48c1-bf59-ce998d22338c,26646,chr2:p-arm,19489,4234
516,7d8b7566-fccb-4713-85a6-72e14a54c7eb,14999,chr3:p-arm,4774,8964
517,ca1a8a66-641d-4959-a4e9-a8c136ab13f3,1851,chr19:q-arm,78,458
518,71a87285-ecb0-4034-9513-7a084690d1e7,24432,chr5:p-arm,8410,13927
519,a5d48b8f-4c02-4b25-b188-bd28a41d74d9,5723,chr6:p-arm,1089,4336
520,63987d72-1e2b-4007-af53-9bd45461d104,10352,chr16:p-arm,1446,8458
521,a46372e8-779c-4954-ba40-1e3fd4ad5f97,4578,chr19:q-arm,80,3388
523,220478b6-b099-4dae-a771-11699bcc4e86,22416,chr12:q-arm,101,54
524,4e5b63c6-6a17-4543-8032-b4b7ceeb8205,11048,chr16:q-arm,8477,826
526,561d3b0f-0680-465c-a516-3fa37b2cbcf6,14713,chr3:p-arm,77,258
527,d533cb5e-b04c-4617-b921-c65a82e5bdca,9190,chr21:q-arm,4313,3999
528,6e993ebc-cedd-45b4-9489-e769ea1a8958,4912,chr8:q-arm,49,192
529,a4b95b7e-792f-4924-b2ee-e1c11626dac4,5005,chr19:p-arm,1543,3161
530,144472de-cff9-46a5-bd1a-63efdd36c931,18914,chr22:q-arm,474,103
531,f7a3127e-2f03-4b5a-beb2-5bc7e7c8b5dc,20132,chr10:p-arm,10889,7120
532,89559f54-3f11-4156-b01e-fb047ee75388,5560,chr9:p-arm,1200,4108
533,459832c3-9be1-40af-bd0c-ff382123a4aa,10505,chr3:q-arm,1079,8848
534,3a728004-2da1-4215-9340-ebfc855a5d35,3747,chr10:p-arm,42,2453
535,5ecf6fd9-696e-48fa-a05c-c29a8c47b220,20604,chr16:q-arm,54,54
536,b6af7656-72f7-44ae-94b3-32021d6cb8fb,17685,chrX:p-arm,10122,2832
537,acf9911c-469a-40e2-a691-d06a8af37e12,13985,chr8:q-arm,11557,667
539,12fcbeba-0d78-4003-88ec-01feceef84f6,18589,chr11:p-arm,13373,3376
540,76ba9946-088d-4b9e-91d4-147e8933d501,12498,chr11:q-arm,5279,5950
541,5e561744-40cc-4cf7-95a7-83b59528b6f0,2143,chr19:q-arm,63,749
542,0ec9ce36-c614-4528-97a5-4a8399058909,21250,chr13:q-arm,8554,9880
543,28e4e673-95ff-43cf-85b0-947e016be7a0,16697,chr8:p-arm,10946,1778
544,8d8444de-a355-40f7-8165-aabf119b3d64,34971,chrX:p-arm,105,30
545,40060a54-595d-4dc9-a6fe-cd6af5c14ae7,15187,chr8:q-arm,11331,2514
546,9f2933ee-314f-47ee-a4fd-44de1a890777,4573,chr19:q-arm,89,3626
547,2e7e0ec2-fbd1-4089-97bd-34eb9518cdbd,8074,chr12:p-arm,167,66
548,f9166f2e-494e-4a0f-a744-a0a79f847d26,32030,chr15:p-arm,24348,3424
549,bab8f46f-e2d3-41a6-8325-de516cd37f7f,38877,chr17:q-arm,24357,8436
550,94f01cba-c95b-4ffb-856e-cb41a2b5f663,2152,chr19:q-arm,95,842
551,f5c991a4-c1b5-457a-a566-0f3a26c93b5a,4439,chr10:q-arm,423,3552
552,2eedec88-900e-43b0-b37b-d42334e21a86,25400,chr1:q-arm,16381,5505
554,a2e679f4-42d5-42e8-8d66-2027b7d46454,48027,chr17:q-arm,33964,7179
555,cbb85177-0460-4962-9d79-7481e9964dc6,35643,chr21:p-arm,22740,4426
556,eb6692da-7371-4f9e-a016-b6c4ca62c7da,11516,chr17:q-arm,6600,3925
557,9db9ef56-0bc1-4cbd-bf08-cf94a188fb07,13838,chr15:q-arm,9577,2602
558,e5c2f3db-c60d-4633-96e1-47d94514d40a,57087,chrX:q-arm,33319,7274
559,16cfe381-fce1-4e6f-a5c5-32c890e0ef46,37808,chr18:q-arm,26172,4627
560,503343c6-ec13-489e-80e2-fb07d57c2fb2,17140,chr3:q-arm,8379,7354
562,e70aaee4-fd30-4613-91e2-ba7238eaac82,5730,chr4:p-arm,350,116
563,80800847-308b-4591-9e2f-cabc49a09951,39188,chr1:p-arm,26869,8512
564,53d33493-6b2b-46d5-9484-67b4eea6934d,6787,chr16:q-arm,1308,5015
565,c2444ed2-1d4d-4a5f-aa8c-226afbd2e621,3097,chr15:p-arm,865,1080
567,3f4ca174-5eb8-4fbf-9af4-93f9ba72d899,27542,chr8:p-arm,18421,6528
568,e2e0f23a-9105-4756-b0b7-18ed01a6560e,43744,chr6:q-arm,31932,6333
569,73444dac-eae6-478d-a1c9-7943939c3fab,3962,chr11:p-arm,1820,1744
570,8f64295a-5a34-4255-aa4f-990566dc43a5,29259,chr18:q-arm,26352,359
572,f3b7bb41-26b9-4c90-b2a9-64412fb26c7f,23514,chr14:p-arm,17818,3864
573,88334a2c-e7b3-47e7-9321-4cc4c9b9212e,1038,chr12:q-arm,124,873
574,895b69df-2940-4ce7-881d-55f4a602b3c1,2603,chr3:q-arm,377,95
575,63ffc3df-726c-46b6-99a7-38dbc8ed65b9,15732,chr15:p-arm,8186,5678
576,a55a9d2e-a19e-435b-af22-6d3f5a7942a0,1771,chrX:p-arm,54,1610
577,388f9c36-a935-4b7c-acec-127a7cb05ca9,11045,chr3:p-arm,826,9686
578,aaddd50c-e6fa-41ae-999c-89625962fd1c,11355,chr12:q-arm,3625,7952
579,54eadddd-51c2-4e9f-981d-34a9d2f66b06,8099,chr11:p-arm,1092,6784
580,8c90494e-da22-415a-84d5-13a732d4bd9d,12913,chr7:p-arm,7833,4019
581,06755670-f356-4495-b732-ef504900ce01,9469,chr19:p-arm,51,66
582,fa2d1f26-b9a5-46c2-b55e-4fcd4485dacc,8519,chr11:q-arm,4806,2254
583,35dd0884-1dbe-4ce3-8b6d-da648fcf6985,6059,chr15:q-arm,975,4624
584,764fee39-b0d8-4413-8ec0-3bad46e781f3,23171,chr14:p-arm,11593,6468
585,6842cabb-a6fa-4933-85f2-a78bdb33e7b4,17959,chr21:p-arm,9345,6795
586,e4344bfe-28ee-4c70-a476-f8f3a6caad60,13704,chr22:p-arm,7494,4744
587,13dcbca4-9f7f-4c0e-aee6-8109a9bf64dd,18380,chr3:p-arm,9542,7255
588,144ffb3d-26db-4913-ac8b-784b9b4b6b96,10294,chr4:p-arm,528,8835
589,dd5ed203-10d8-4ad9-8a69-37695cd17d3b,17647,chr6:q-arm,6903,6338
590,d512e6f9-62d7-4697-9214-35c5df6e28fc,6970,chr19:p-arm,1544,5116
591,d06a0eaf-aad2-4152-8194-41cc1fb865f7,6270,chr9:p-arm,1252,4690
593,ad3907a8-fe84-47b4-a794-599c067b1df2,15230,chr8:q-arm,448,60
595,e5d7b203-81f3-441a-a1da-5969e70c08c0,17709,chr18:p-arm,10259,5254
596,33214b6e-afae-478e-8044-e7812e47284c,23126,chr13:q-arm,12490,7946
597,9b27b3e2-3452-4548-8224-2d216655198f,35914,chr6:q-arm,23791,5488
598,3f2e6810-ebde-42db-8b37-ed575fe7d1cc,20043,chr6:q-arm,5494,12621
599,2d804c7d-860b-413c-9a99-78a14601ef9f,40059,chr17:p-arm,22245,5482
600,d883caa6-e788-4806-bbe2-463623d9ecf8,29011,chr8:q-arm,2246,348
601,fe237aa1-498d-4ae9-8880-c4623ba46e06,3824,chr12:q-arm,158,3659
602,693727e7-1f71-4cac-b062-cfa879ca3523,15042,chr19:q-arm,5770,8758
603,ace47435-5c69-45e8-a0b1-2e7795527ff9,25343,chr14:q-arm,14561,7246
604,a8a5ce9a-6d01-4dc3-bede-750e00c35e7b,3645,chr14:q-arm,60,3482
605,90de507a-7f00-40df-8fa1-a95520c9914e,16693,chr17:q-arm,6229,8891
606,7b122c16-e504-42a7-a8a7-2a4de82df03b,4856,chr12:q-arm,83,3588
607,2574f4d6-49ea-4f93-a5e1-e9777c34fd93,13074,chr8:p-arm,4033,7588
608,41bfb451-29b0-4dc8-be37-93394377a707,10758,chr11:p-arm,1372,9310
609,c05c7a93-c5ab-405f-964c-b21c77aa8c23,29166,chr17:p-arm,21645,655
610,eceef7f7-9b7b-4006-8def-9e00c99a0470,21429,chrX:p-arm,45,119
611,a5eeb7ed-3a87-414b-84bf-d24cac6afff9,11009,chr8:q-arm,55,210
612,38d01870-dec8-4af3-98fa-a567cf51b4b6,4850,chr3:q-arm,871,3141
613,1624a3d4-2008-4e98-94b7-6ef5d990838d,29564,chr13:p-arm,10229,6346
614,7a695327-7522-46ba-9bec-a61ad6573526,13181,chrX:p-arm,7004,4527
615,9bd8e226-52ab-47f9-a2c5-5e91fee6f7df,39055,chr5:p-arm,25360,9676
616,ed20b541-2aeb-4b57-b722-246922b59158,28821,chr8:q-arm,12691,7799
617,0b2b3d2e-303b-4625-bfaf-f9510c1bf583,41899,chr1:p-arm,18752,5860
618,27721985-7fd3-40f6-8f03-974b9dd008d1,13971,chrX:q-arm,1264,12166
619,278b1a24-6d8f-4aef-80e8-f4fe80a59c61,22070,chr14:p-arm,8944,9916
620,adf6fb30-27c2-4d76-8f01-1f0c87a6f603,26476,chr14:p-arm,15580,6436
621,dcc19197-6e21-4032-ad60-9dc4eab5b226,24626,chr1:p-arm,14386,7228
622,e8a58df7-721f-4203-b8bf-9fd7c89fc6e6,7693,chr16:p-arm,1311,6208
623,88202a8e-03d9-4bf5-9fd6-87c87a22c08f,31533,chr18:q-arm,23129,5272
624,71cbf87b-3b58-4842-b3ea-5482f7cbd2f2,11769,chr14:p-arm,3034,7979
626,9d8a4e76-3e2d-4c23-a1be-267cec29cc3e,6562,chr12:p-arm,1544,4347
628,f1137ed1-cd25-4f2d-8ddb-ad096d6e1f0a,5739,chr19:q-arm,103,4434
630,99028b7a-386d-438f-9e89-4e4055ecd776,14521,chr4:p-arm,6351,6827
631,7772dca4-67e6-42d7-be63-66c15451233b,13900,chr4:p-arm,8243,3673
632,fa7f2193-10b1-4db6-815c-b3f23bc8c597,11738,chr2:p-arm,669,10726
633,c467951c-e376-436a-8c4d-d356574a7232,7298,chr3:q-arm,538,6501
634,2283480c-04fe-480d-853d-c6aeba086158,18329,chr18:p-arm,10509,6087
635,c8faf234-f8db-4756-b489-adad033c2db5,11783,chr6:q-arm,2588,7686
637,4da064de-5e75-446d-b2fc-030b13bf520e,25739,chr14:q-arm,14214,7780
638,26cf6c8d-762f-4eb0-a72e-d1be68b158b3,33934,chr12:q-arm,17372,11096
639,8c22b59b-b488-4ecd-b662-c9ccdd34f1de,7750,chrX:q-arm,1615,5914
640,63758c04-6b1d-4fc8-827f-c67102ab2ca6,19056,chr6:q-arm,11595,4768
641,4ccd38ab-39ef-4cd5-b6d3-1f40b196572a,23087,chr18:q-arm,14960,5761
642,f1b408df-d98d-4116-893d-5be03b0a9e05,40633,chr1:p-arm,25058,2215
643,4315b4d6-83e3-4e3e-a808-b01892b66d81,16996,chr18:q-arm,6689,6182
644,8e53f6a1-c7b5-4ab3-b1fd-69a2f426f96f,13780,chr11:p-arm,7012,4848
645,5a888ec7-247d-4767-8807-3457ca49f14d,24198,chr5:p-arm,18943,2889
646,03c5a77f-858b-46cb-bba8-bfce3d392149,3440,chrX:p-arm,57,3277
647,f42a36c7-a905-4914-aaf1-cf848ab798eb,5555,chr19:q-arm,101,4314
648,b74cf1f2-e637-4f04-873d-daf754d99b49,11563,chr14:p-arm,6343,4042
649,39ab0a4f-846f-494d-a977-07daf62f3362,7444,chr19:p-arm,1244,5622
650,0fde8aaf-56b8-438e-9138-b001e0ff6dc8,13427,chr21:q-arm,8667,2770
651,a638ba91-3e34-4875-81c5-6be7c2b11603,4419,chr18:p-arm,420,3855
652,23fa5b5f-ace2-474c-945e-91692c05619e,7972,chr15:q-arm,44,66
653,736bbb45-20c3-4cc1-90db-fa11e250c651,36204,chr10:p-arm,26179,3079
654,740dbd36-fec5-4f82-a0e9-f9db9b39e314,12337,chr17:p-arm,4500,4474
655,252e9cf7-c47a-4877-bfb1-21d6b63c197f,1302,chr19:q-arm,92,186
657,19c355bc-5488-4498-bf35-346a1da4eb4e,13258,chr8:p-arm,9986,360
658,0f6722ba-4b56-454e-8278-615a45f00ceb,6919,chr17:q-arm,1119,5473
659,4ed4bc06-39b2-46df-971d-f5ede4fce308,22496,chr14:q-arm,15073,4370
660,cc85152f-61e3-4b72-a0eb-c2c05b44c1a3,2186,chr16:q-arm,204,1160
661,3d5497e9-e15c-4813-8bd7-39001dec4f47,6870,chr19:q-arm,92,5021
662,73c0245c-6330-4181-b068-178e9ee10c8e,10061,chr11:p-arm,56,153
663,b7a691f8-f4e6-4d33-88f5-a0ae06cae0fc,6920,chr16:p-arm,1025,5419
664,bf2598aa-35d4-4034-b9ca-6e9a951e36b9,2504,chr19:q-arm,110,2188
666,52a085bd-034a-4bc4-b9c6-a4b88993b769,2562,chr12:q-arm,122,2391
667,0ddc3653-c819-4cd6-b29e-596f0af3ae49,19896,chr20:q-arm,10600,6842
668,3a465938-5f8f-469b-961c-3bb6a5efe9f0,5157,chrX:p-arm,301,4816
669,53255092-7192-443d-9bf5-25cb869b9f8c,24818,chr6:q-arm,10620,10326
670,ab5a28d7-6c21-4e64-bfa0-aa0cabaeef24,16097,chr21:q-arm,5566,7612
671,7f7ecf96-29ba-4760-bc8f-76007fa8597c,10511,chr20:p-arm,68,84
672,6803aefe-076c-4fbd-90ff-f8869a8c27e5,6131,chr19:q-arm,86,4864
674,b3e99a5f-015b-4715-adc8-e54c55f2dbab,6525,chr5:p-arm,1399,4933
675,df793a08-8f5e-4ebc-9956-cd183175af0c,36457,chr1:p-arm,25071,5752
676,f6725d3a-b7b1-4dc6-ae38-0afdcf26ab97,6725,chrX:p-arm,58,6563
677,61782c0e-1b13-406a-a29f-0be41d088064,8247,chr15:q-arm,1090,6426
679,abf8f4bb-8bd0-4a87-b929-a0cb329182ce,4131,chr9:p-arm,41,119
682,ae28413c-3004-4ca1-bc5c-d3cfdcc1cb02,17673,chr10:p-arm,11498,4603
683,686ff0ed-c7c8-40f1-9f03-45a8fb7f68ca,29168,chr2:p-arm,19041,6910
